DRUGS,ROOTS,VARIANTS
tanganil,tanganil,"tanganil,
tanganil 500,
tanganil 500 cp,
tanganil 500 mg,
tanganil 500 mg cp,
tanganil 500mg,
tanganil cp,
tanganil inj"
tanganyl,tanganyl,tanganyl 100 mg
taraxet,taraxet,taraxet 25
tardyferon,"tardyferon, tardyferon ou fercefol, tardyferon pellicule","tardyferon,
tardyferon 80,
tardyferon 80 comprimes,
tardyferon 80 cp,
tardyferon 80 mg,
tardyferon 80mg,
tardyferon b9,
tardyferon b9 -,
tardyferon b9 comp,
tardyferon b9 comprime,
tardyferon b9 comprimes,
tardyferon b9 cp,
tardyferon comprime,
tardyferon cp,
tardyferon cp 80mg,
tardyferon sp,
tardyferon 80 mg comprime pellicule,
tardyferon b9 comprime pellicule,
tardyferon sol buv ou fercefol sp"
tradyferon,tradyferon,tradyferon b9
taxim o,taxim o,"taxim -o 100 mg sirop,
taxim o cp 200mg,
taxim o sirop"
tegretol,tegretol,"tegretol 200,
tegretol cp 200,
tegretol cp 250"
teguma,teguma,"teguma,
teguma comp 250mg,
teguma cp,
teguma creme"
teinture d'iode,teinture d'iode,teinture d'iode
telmikaa h,telmikaa h,telmikaa h
temerit,temerit,temerit 5mg
temesta,temesta,"temesta 2,5mg"
tenormine,tenormine,tenormine 100 mg
tensoplast,"tensoplast, tensoplast cm x","tensoplast,
tensoplast 3 cm x 5"
tensoplus,tensoplus,"tensoplus 10/2,5/10"
teramox,teramox,"ter amox,
ter amox 500,
teramox 500,
teramox 500 mg gelules,
teramox gel,
teramox gel 1g,
teramox sp,
teramox suspension"
ter diclo p,ter diclo p,ter diclo p
terbigen,"terbigen, terbigen gh","terbigen 250mg,
terbigen creme,
terbigen gh 1%,
terbigen gh 250,
terbigen gh creme"
terbinafine,terbinafine,"terbinafine 250 mg cp,
terbinafine creme,
terbinafine pde"
terbinol,terbinol,terbinol 250 mg
terclav,"terclav, terclav enfts","terclav 500,
terclav cp 1g,
terclav sirop enfts"
tercox,tercox,"tercox 100,
tercox 100mg,
tercox 100mg cp,
tercox 100mg gelule"
tergynan,"tergynan, tergynan gyneco","tergynan,
tergynan ovules,
tergynan cp gyneco"
terlomexin,terlomexin,"terlomexin,
terlomexin ovule,
terlomexin ovules"
teromep,teromep,teromep cp
terpara,terpara,"terpara,
terpara 1000,
terpara 1000 mg,
terpara 1000 mg cp,
terpara 1g,
terpara 1g cp,
terpara 500mg,
terpara cp 1g,
terpara fort,
terpara plus,
terpara plus -comp,
terpara plus comp,
terpara plus effervescent"
terpine,terpine,terpine cp
terpone,"terpone, terpone ad","terpone sirop,
terpone sirop enfant,
terpone sp ad"
terzol,terzol,"terzol sirop,
terzol sp,
terzol sp 400"
tetavax,tetavax,"tetavax,
tetavax injectable"
tetraxim,"tetraxim, tetraxim vaccin","tetraxim,
tetraxim vaccin"
thermoflash,thermoflash,thermoflash
thermometre electronique,thermometre electronique,thermometre electronique
thermoseal,thermoseal,thermoseal
thiobactin,thiobactin,thiobactin 500 mg
thyrozol,thyrozol,"thyrozol 10,
thyrozol 10 mg,
thyrozol 20,
thyrozol 20 mg,
thyrozol 5 mg,
thyrozol 5mg"
tiberal,tiberal,"tiberal,
tiberal cp"
ticasse,ticasse,ticasse 1g
ticket consultation,ticket consultation,ticket consultation
till,"till, till gm, till moussante, till savon liquide, till slt","till,
till solution,
till slt,
till solution gm,
till savon liquide,
till solution moussante"
tinazol,tinazol,"tinazol 500,
tinazol 500 mg cp"
tinidazole,tinidazole,tinidazole cp 500 mg
tiorfan,"tiorfan, tiorfan smecta","tiorfan,
tiorfan 10,
tiorfan 10 mg,
tiorfan 10 mg sachet,
tiorfan 10 mg sachets,
tiorfan 100 mg,
tiorfan 10mg sachet,
tiorfan 30,
tiorfan 30 mg,
tiorfan adulte,
tiorfan cp,
tiorfan enfant,
tiorfan enfant 30 mg,
tiorfan enfant 30mg,
tiorfan gel,
tiorfan gelule,
tiorfan gelules,
tiorfan nrs,
tiorfan sachet,
tiorfan sachet 10 mg,
tiorfan sachet 10mg,
tiorfan sachet 30,
tiorfan sachet 30 mg,
tiorfan sachet enfant,
tiorfan sachet nrs,
tiorfan sachets nrs,
tiorfan scht,
tiorfan 30 mg sachet( smecta sachet)"
titanoreine,"titanoreine, titanoreine tube","titanoreine,
titanoreine creme,
titanoreine suppo,
titanoreine suppositoire,
titanoreine tube"
tobradex,"tobradex, tobradex ophta, tobradex ou chibro cadron, tobradex pmme","tobradex,
tobradex collyre,
tobradex pde,
tobradex pmde,
tobradex pommade,
tobradex ou chibro cadron,
tobradex pmme,
tobradex pommade ophta"
tobrex,tobrex,"tobrex,
tobrex collyre"
topicrem,"topicrem, topicrem ac nettoyant, topicrem ac soin equilibrant, topicrem baume, 
topicrem da baume, topicrem da protect, topicrem pv ds, topicrem sun protect, 
topicrem ultra, topicreme surgras","topicrem,
topicrem pv/ds lotion,
topicrem ac gel nettoyant,
topicrem ac soin equilibrant,
topicrem baume,
topicrem da baume,
topicrem da protect,
topicrem sun protect,
topicrem ultra lait,
topicreme gel surgras"
topilane ad baume,"topilane ad baume, topilane ad huile","topilane ad baume,
topilane ad huile"
toplexil,toplexil,"toplexil sirop,
toplexil sp"
tothema,tothema,"tot' hema,
tot'hema,
tot'hema sp,
tothema, 
tothema amp,
tothema amp buvable,
tothema ampoule"
trabar,trabar,"trabar,
trabar cp"
tracedol,tracedol,"tracedol,
tracedol cp"
tramacetal,tramacetal,tramacetal
tramadis,tramadis,tramadis gel
tramadol,"tramadol, tramadol p arrow","tramadol,
tramadol 50 mg,
tramadol 50mg,
tramadol inj,
tramadol p arrow"
tramagen,"tramagen, tramagene","tramagen,
tramagen 100 mg,
tramagen 50,
tramagen 50 cp,
tramagen 50 mg,
tramagen cp 50 mg,
tramagene inj"
tramapa,"tramapa, tramapa p arrow, tramapara arrow","tramapa,
tramapa 75/650,
tramapa cp,
tramapa cp 37,5/325 mg,
tramapa fort,
tramapa forte,
tramapa p arrow,
tramapara arrow"
transit double action,transit double action,transit double action
tranxene,tranxene,tranxene 10 mg
travatan,travatan,"travatan colly,
travatan collyre"
travonorm,"travonorm, travonorm ioprost cexolan","travonorm,
travonorm collyre,
travonorm collyre / ioprost/ cexolan"
trebon,"trebon, trebon n","trebon 600,
trebon stick,
trebon n 600,
trebon n 600 mg"
tremadol,"tremadol, tremadol p arrow","tremadol cp,
tremadol p arrow"
trenaxa,trenaxa,"trenaxa,
trenaxa 500,
trenaxa 500 mg cp"
tresorix,tresorix,"tres orix,
tres orix forte sirop,
tresorix cp"
tresiba,tresiba,tresiba
tretinex,tretinex,"tretinex 0,5,
tretinex creme
"
tretrinex,tretrinex,tretrinex creme
trialgic,trialgic,"trialgic,
trialgic cp"
triam,triam,triam 40 injectable
tributine,"tributine, tributine sac","tributine,
tributine 150,
tributine 150 mg comp,
tributine 150 mg sachet,
tributine 150mg,
tributine cp,
tributine gelule,
tributine sachet,
tributine sp,
tributine suspension,
tributine sac"
tricef,tricef,"tricef 400,
tricef 400 mg cp,
tricef 400mg cp,
tricef 400mg sp,
tricef cp"
tricoz,tricoz,tricoz 35 mg
triflo,"triflo, triflon","triflo, triflon"
trillerg,trillerg,"trillerg,
trillerg coll"
trimebutine,"trimebutine, trimebutine arrow, trimebutine sht","trimebutine 100 mg,
trimebutine 150 mg,
trimebutine scht,
trimebutine sirop,
trimebutine sht,
trimebutine arrow 200mg cp"
trimetabol,"trimetabol, trimetabolsp","trimetabol,
trimetabol sirop,
trimetabol sp
trimetabolsp"
trinordiol plaquette,trinordiol plaquette,trinordiol 1 plaquette
trio white xp,trio white xp,trio white xp lait
triplixam,triplixam,triplixam 10/25/10 mg
trofocard,"trofocard, trofocard max","trofocard,
trofocard max"
troycal,troycal,"troycal,
troycal 500,
troycal 500mg"
troynoxa,troynoxa,"troynoxa 0,4"
troypanto,troypanto,"troypanto,
troypanto 20,
troypanto 40 mg,
troypanto 40mg,
troypanto cp"
tussisedal,tussisedal,tussisedal
twinzol,twinzol,"twinzol,
twinzol collyre,
twinzol collyre 5 ml"
"typhim iv
","typhim iv, typhim iv en seringue preremplie, typhim vaccin, typhim vi","typhim iv,
typhim vi,
typhim iv sol inj en seringue preremplie,
typhim vaccin"
ubimed,ubimed,ubimed sp
ubiorofen ubigen,ubiorofen ubigen,ubiorofen ubigen
ulcizone,"ulcizone, ulcizone com p","ulcizone 20 mg,
ulcizone com p"
ultra levure,ultra levure,"ultra levure,
ultra levure - 250mg, b/10,
ultra levure 250,
ultra levure 250 mg,
ultra levure 250 sachet,
ultra levure sachet,
ultra levure sachet nrs"
ultramox,ultramox,ultramox 500 mg
ulzocer,ulzocer,"ulzocer,
ulzocer 20 mg,
ulzocer 40,
ulzocer 40 mg,
ulzocer 40 mg cp,
ulzocer 40mg,
ulzocer gel,
ulzocer inj,
ulzocer inj 40mg"
unozit,unozit,"unozit 500,
unozit 500 mg,
unozit 500 mg cp"
uperio,uperio,uperio 100 mg
upracid,upracid,upracid 20
upradone,upradone,"upradone,
upradone gelule"
upsa,"upsa, upsa c, upsa c comps efft, upsa c sans sucre, upsa vit c, upsa vitamine c","upsa 1000,
upsa cp,
upsa c,
upsa c 1000,
upsa c 1000 cp,
upsa c 1g,
upsa c comprimes,
upsa c cp,
upsa vit c,
upsa c 1000 comps efft,
upsa c sans sucre,
upsa vitamine c"
utergin,utergin,utergin cp
utrogestan,utrogestan,"utrogestan,
utrogestan 100,
utrogestan 100 mg cp,
utrogestan 200,
utrogestan 200 capsules,
utrogestan 200 comp,
utrogestan 200 mg,
utrogestan 200 ovule,
utrogestan 200mg,
utrogestan cp,
utrogestan ovule 200mg"
uvedose,uvedose,"uvedose,
uvedose 100000,
uvedose 100000 ui,
uvedose 100000 ui buvable,
uvedose 100000ui,
uvedose 100000ui ampoules buvables
"
uverdose vit d,uverdose vit d,uverdose 100000 ui (vit d)
uvesterol,"uvesterol, uvesterol adec","uvesterol,
uvesterol goutte,
uvesterol gtte,
uvesterol sirop,
uvesterol sp,
uvesterol adec"
vaccin antitetanique,vaccin antitetanique,vaccin antitetanique
vat,vat,"vat,
vat 2,
vat 3"
"vagi gh
","vagi gh
vagicare
vagimilt, vagimilt ovle
vagisil","vagi gh,
vagi gh ovule,
vagi-gh,
vagi-gh capsules
vagicare,
vagicare solution
vagimilt,
vagimilt ovule,
vagimilt ovules,
vagimilt ovle
vagisil suppo"
vancomycine,vancomycine,"vancomycine 500 mg inj,
vancomycine inj 500mg"
vaporub,vaporub,vaporub
varivax,varivax,varivax
vaseline,"vaseline, vaseline blanche, vaseline officinale, vaseline pure codex, vaseline salicylee","vaseline 5 % creme,
vaseline blanche,
vaseline officinale,
vaseline pure codex pommade,
vaseline salicylee 1%,
vaseline salicylee 10 %,
vaseline salicylee 10%,
vaseline salicylee 2%""
"
vasimult,vasimult,vasimult ovule
vastarel,vastarel,"vastarel 20 mg,
vastarel 20mg,
vastarel 20mg cp,
vastarel 35,
vastarel 35 mg,
vastarel 80 mg,
vastarel cp 35 mg"
vaxigrip tetra,vaxigrip tetra,vaxigrip (tetra)
vegebom,"vegebom, vegebom baume bebe, vegebom bebe, vegebom savon","vegebom,
vegebom gel,
vegebom pommade,
vegebom baume bebe,
vegebom bebe,
vegebom savon"
veinosmyl,veinosmyl,veinosmyl
venosmil,venosmil,venosmil gelules
veliten,veliten,veliten cp
ventesyl,ventesyl,ventesyl
ventoline,"ventoline, ventoline aerosol, ventoline dose, ventoline inhalateur, 
ventoline nebulisation, ventoline ventoline","ventoline,
ventoline 100,
ventoline 100 spray,
ventoline 100mcg,
ventoline 2,5 mg/2,5 ml,
ventoline 5mg/2,5ml,
ventoline sirop,
ventoline sp,
ventoline spray,
ventoline spray 100,
ventoline 100 mg dose,
ventoline aerosol,
ventoline inhalateur,
ventoline nebulisation,
ventoline ventoline,
ventoline ventoline spray"
verax blu,verax blu,verax blu bb
verex,verex,"verex 400 mg,
verex 6,
verex cp,
verex sirop,
verex sp"
verumal vernis,verumal vernis,verumal vernis
verzol,"verzol, verzole","verzol,
verzol 400,
verzol 400 sp,
verzol comprime,
verzol cp,
verzol cp 400 mg,
verzol cp 400mg,
verzol sirop,
verzol sp,
verzol suspension,
verzole cp"
vesicare,vesicare,vesicare 5 mg
vibrocil,"vibrocil, vibrocil goutts, vibrocil nasale","vibrocil,
vibrocil gtte,
vibrocil goutts,
vibrocil gtte nasale"
vicombil,vicombil,"vicombil,
vicombil 100% sp,
vicombil comprime,
vicombil cp,
vicombil junior,
vicombil sirop,
vicombil sp"
vicryl,vicryl,vicryl 5/2
vidoxa,"vidoxa, vidoxa savon","vidoxa lait,
vidoxa savon"
vifex,vifex,"vifex,
vifex - 2/4/1oomg, fl/100ml,
vifex -sirop,
vifex sirop,
vifex sp"
vik vitc,vik vitc,"vik vit c,
vik vitc cp,
vikvit c 1000,
vikvit c cp"
virgan ophtalmique,virgan ophtalmique,virgan gel ophtalmique
virimax,virimax,"virimax gel,
virimax gelules"
visceralgine,visceralgine,"visceralgine,
visceralgine - 10mg/5ml, fl/150ml,
visceralgine sirop,
visceralgine sp,
visceralgine sup,
visceralgine suppo"
viscodril,viscodril,"viscodril,
viscodril sirop,
viscodril sp"
"vita c

","vita c
","vita c 1000
"
vitamine,"vitamine, vitamine c","vitamine c,
vitamine c 1000 mg,
vitamine c 500 mg cp,
vitamine c cp"
vitmaine specific femme,vitmaine specific femme,vitmaine 22 specific femme
vitamin special femme,vitamin special femme,vitamin 22 special femme
speciphique femme,speciphique femme,speciphique femme
vitamines specific homme,vitamines specific homme,vitamines 22 specific homme
vitafer,vitafer,"vitafer,
vitafer forte,
vitafer forte sp,
vitafer gel,
vitafer gelule,
vitafer sp"
vitamine fer,vitamine fer,vitamine b6 b9 fer
vitagen,vitagen,"vitagen,
vitagen amp,
vitagen cp,
vitagen inj
"
vitagene ,vitagene ,vitagene inj
vitaglobine,vitaglobine,"vitaglobine,
vitaglobine sp"
vitavit,vitavit,"vitavit,
vitavit sirop,
vitavit sp"
vitamine k,vitamine k,"vitamine k,
vitamine k 2mg,
vitamine k1,
vitamine k1 2mg,"
vitamine roche,vitamine roche,vitamine k1 roche amp buvable nourrisson 2mg/2ml
vitafact,vitafact,"vitafact,
vitafact sp"
vitapetine,vitapetine,"vitapetine gel,
vitapetine sirop,
vitapetine sp"
vitabact,vitabact,"vitabact collyre

"
vivagest,vivagest,"vivagest,
vivagest cp"
vogalene,"vogalene, vogalene bebe, vogalene goutts, vogalene gttte, vogalene supp, 
vogalene supppo","vogalene,
vogalene -sp,
vogalene 5 mg suppo,
vogalene cp 5 mg,
vogalene goutte,
vogalene goutte buvable,
vogalene gouttes,
vogalene gouttes buvables,
vogalene gtte,
vogalene gttes,
vogalene inj,
vogalene sirop,
vogalene sp,
vogalene suppo,
vogalene suppo 5 mg,
vogalene suppo 5mg,
vogalene suppo enfant,
vogalene suppo nourrisson,
vogalene suppo nrs,
vogalene suppositoire,
vogalene goutts,
vogalene gttte,
vogalene supp,
vogalene suppo bebe,
vogalene supppo"
volini,volini,"volini,
volini gel,
volini pmde,
volini pomad,
volini pommade"
voltfast,voltfast,"voltfast,
voltfast 50,
voltfast 50 mg,
voltfast 50 mg cp,
voltfast sachet,
voltfast sachet 50,
voltfast sachet 50 mg"
vonbio gastro,vonbio gastro,vonbio gastro
vorivox,vorivox,vorivox
vovgel,"vovgel, vovgel t","vovgel,
vovgel - 1,16%,t/30g"
voxcib,voxcib,voxcib 100
warimazol,"warimazol, warimazol ov","warimazol,
warimazol creme,
warimazol ovule,
warimazol pommade,
warimazol ov"
welvit,welvit,welvit plus
wormin,wormin,"wormin,
wormin 150 mg,
wormin 500,
wormin 500 mg cp,
wormin sp"
xaban,xaban,"xaban 10mg cp,
xaban 20mg"
xalatan,xalatan,"xalatan,
xalatan collyre"
xarelto,xarelto,"xarelto,
xarelto 10,
xarelto 10 mg,
xarelto 10mg,
xarelto 15mg,
xarelto 15mg cp,
xarelto 20,
xarelto 20 mg"
xenetix,xenetix,xenetix 350 mg
xeracalm nutrition,"xeracalm concentre apaisante, xeracalm huile lavante, xeracalm nutrition","xeracalm concentre apaisante,
xeracalm huile lavante,
xeracalm nutrition lait"
xola,"xola, xolamol","xola colly,
xola collyre,
xolamol,
xolamol collyre"
xumadol,xumadol,xumadol
xykaa,"xykaa, xykaa action rapide, xykaa ef, xykaa ext, xykaa extend, xykaa extra, xykaa mr,
 xykaa rapid, xykaa rapide","xykaa,
xykaa 1 g effervescent,
xykaa 1000,
xykaa 1000 comprimes,
xykaa 1000 cp,
xykaa 1000 cp eff,
xykaa 1000 lp,
xykaa 1000 mg,
xykaa 1000 mg cp,
xykaa 1g,
xykaa 1g comprime,
xykaa 1g cp,
xykaa 1g lp,
xykaa 1g sec,
xykaa 500,
xykaa 500 mg,
xykaa 500mg,
xykaa cp,
xykaa cp 1000 mg,
xykaa cp 1g,
xykaa extend1000,
xykaa lp,
xykaa lp 1g,
xykaa plus,
xykaa plus cp,
xykaa 1000 extend,
xykaa 1g extend,
xykaa extend,
xykaa extend 1000,
xykaa extend 1000 mg,
xykaa extend 1000mg cp,
xykaa extend 500 mg,
xykaa 1000 ef,
xykaa 1g ef,
xykaa ef,
xykaa ef 1000,
xykaa ef 1g cp,
xykaa ef 500,
xykaa 1000 ext,
xykaa 1g ext,
xykaa cp 1g ext,
xykaa ext cp 1g,
xykaa mr,
xykaa mr 4,
xykaa mr 4 comp,
xykaa mr 4 mg,
xykaa mr cp,
xykaa 1000 mg action rapide,
xykaa 1g rapide,
xykaa cp 1g rapid,
xykaa rapid,
xykaa rapid 1000,
xykaa rapid 500,
xykaa rapid 500 effervescent,
xykaa extra
"
xylar,xylar,xylar 500
xylocaine,"xylo acino, xylo mepha
xylocaine, xylocaine bucc","xylo acino,
xylo mepha 0,5%,
xylo-mepha 0,5%
xylocaine,
xylocaine pommade,
xylocaine gel bucc 2%"
xyzall,xyzall,"xyzall,
xyzall -,
xyzall - 5mg, b/14,
xyzall cp,
xyzall cpes"
yendol,"yendol, yendol n, yendol sht","yendol n,
yendol sachet,
yendol sht,
yendol sht, b/10"
zaditen,zaditen,zaditen
zalain,zalain,"zalain,
zalain ovule"
zamox,"zamox, zamox st","zamox,
zamox 1g,
zamox 1g sachet,
zamox 500 mg,
zamox 500 sachets,
zamox sp,
zamox st 500 mg"
zamudol,zamudol,"zamudol lp 100,
zamudol lp 50"
zanextra,zanextra,zanextra 20/20
zeben,zeben,"zeben 400 mg,
zeben cp"
zeclar,zeclar,zeclar 500 mg
zenmag,zenmag,"zen mag,
zenmag,
zenmag - 110,980/0,571/50mg b/32,
zenmag 2,
zenmag cp,
zenmag gel"
zenavan,zenavan,zenavan gel
zentel,zentel,"zentel,
zentel 400 mg,
zentel adulte,
zentel cp,
zentel cp 400,
zentel cp 400 mg,
zentel sirop,
zentel sirop 400 mg,
zentel sp,
zentel sp 10ml,
zentel sp 200 mg/ 5 ml,
zentel sp 400,
zentel suspension"
zerodol,"zerodol, zerodol p","zerodol,
zerodol cp,
zerodol cr,
zerodol sp,
zerodol sr 200,
zerodol p,
zerodol p 1g cp,
zerodol p 500mg,
zerodol p comprimes,
zerodol p cp"
zinc,"zinc, zinc oz, zinc sro, zincat, zincat od","zinc,
zinc 20 mg,
zinc cp,
zinc cp 20 mg,
zinc sirop,
zinc sp,
zinc oz cp,
zinc- sro
zincat od,
zincat od sirop,
zincat-od,
zincat-od cp,
zincat-od sirop,
zincat-od sp,
zincat sirop"
zinnat,zinnat,"zinnat 250,
zinnat 250 mg"
zirtec,zirtec,zirtec
zithromax,zithromax,"zithromax 500,
zithromax 500 mg comprimes,
zithromax sirop,
zithromax sirop 250,
zithromax sp,
zithromax sp 22,5 ml"
zithrotel,zithrotel,zithrotel 500 mg
zithrotil,zithrotil,zithrotil 500
zocin,"zocin, zocin sht
zocinsp","zocin,
zocin - 200mg/5ml, fl/15ml,
zocin 15 ml,
zocin 500,
zocin 500 cp,
zocin 500 mg,
zocin cp 500,
zocin sirop,
zocin sp,
zocin sp 200 mg sht,
zocinsp"
zolmitriptan biogaran,zolmitriptan biogaran,zolmitriptan biogaran
zomoz,zomoz,"zomoz 5 mg,
zomoz 5mg"
zopan,"zopan, zopan ds","zopan,
zopan 500 mg,
zopan ds"
zovirax,zovirax,zovirax creme
zyloric,zyloric,"zyloric 100,
zyloric 100 mg"
zyltan,"zyltan, zyltan am","zyltan 50,
zyltan 50 mg,
zyltan 50mg,
zyltan am"
zynocet,zynocet,"zynocet cp,
zynocet sp"
zyrtec,zyrtec,"zyrtec,
zyrtec 10 mg,
zyrtec 10mg,
zyrtec sirop"
zytram,zytram,zytram 50
